objectid,species,sp_kor,long,lat,조사일자,조사년도,시도명
1730,"Hynobius leechii Boulenger, 1887",도롱뇽,128.964194,35.062167,2018,2018,부산광역시
12534,"Rana dybowskii G?nther, 1876",북방산개구리,129.132739,35.362247,2018,2018,부산광역시
4395,"Oocatochus rufodorsatus (Cantor, 1842)",무자치,129.245728,35.356683,2018,2018,부산광역시
15117,"Oocatochus rufodorsatus (Cantor, 1842)",무자치,129.244611,35.296044,2018,2018,부산광역시
1728,"Rana dybowskii G?nther, 1876",북방산개구리,128.986417,35.113194,2018,2018,부산광역시
4396,"Elaphe dione (Pallas, 1773)",누룩뱀,129.245728,35.356683,2018,2018,부산광역시
17907,"Rana dybowskii G?nther, 1876",북방산개구리,129.178269,35.342872,2018,2018,부산광역시
15111,"Hyla japonica G?nther, 1859",청개구리,129.158233,35.307878,2018,2018,부산광역시
15114,"Hyla japonica G?nther, 1859",청개구리,129.19955,35.297581,2018,2018,부산광역시
15122,"Hyla japonica G?nther, 1859",청개구리,129.158525,35.260139,2018,2018,부산광역시
15128,"Hyla japonica G?nther, 1859",청개구리,129.206739,35.288439,2018,2018,부산광역시
2876,"Rana dybowskii G?nther, 1876",북방산개구리,129.069772,35.283744,2018,2018,부산광역시
15137,"Rana dybowskii G?nther, 1876",북방산개구리,129.254281,35.288833,2018,2018,부산광역시
15135,"Rana dybowskii G?nther, 1876",북방산개구리,129.251458,35.312831,2018,2018,부산광역시
15133,"Rana dybowskii G?nther, 1876",북방산개구리,129.116533,35.278994,2018,2018,부산광역시
15134,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.251458,35.312831,2018,2018,부산광역시
15130,"Rana dybowskii G?nther, 1876",북방산개구리,129.211967,35.287217,2018,2018,부산광역시
15127,"Rana dybowskii G?nther, 1876",북방산개구리,129.206739,35.288439,2018,2018,부산광역시
15123,"Rana dybowskii G?nther, 1876",북방산개구리,129.158525,35.260139,2018,2018,부산광역시
15131,"Hyla japonica G?nther, 1859",청개구리,129.211967,35.287217,2018,2018,부산광역시
15113,"Rana dybowskii G?nther, 1876",북방산개구리,129.19955,35.297581,2018,2018,부산광역시
15139,"Hyla japonica G?nther, 1859",청개구리,129.254281,35.288833,2018,2018,부산광역시
17918,"Rana dybowskii G?nther, 1876",북방산개구리,129.268092,35.334758,2018,2018,부산광역시
4382,"Rana dybowskii G?nther, 1876",북방산개구리,129.245728,35.356683,2018,2018,부산광역시
15120,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,129.158525,35.260139,2018,2018,부산광역시
4386,"Rana huanrenensis Fei, Ye and Huang, 1990",계곡산개구리,129.245728,35.356683,2018,2018,부산광역시
15121,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.158525,35.260139,2018,2018,부산광역시
15523,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,128.945361,35.100722,2018,2018,부산광역시
15524,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,128.942806,35.088528,2018,2018,부산광역시
45,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,129.245728,35.356683,2018,2018,부산광역시
1030,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.925736,37.516758,2014,2014,서울특별시
1034,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.925736,37.516758,2014,2014,서울특별시
3578,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.875411,37.574775,2014,2014,서울특별시
3583,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.875411,37.574775,2014,2014,서울특별시
3584,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.875411,37.574775,2014,2014,서울특별시
3589,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.875411,37.574775,2014,2014,서울특별시
3590,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.882453,37.575858,2014,2014,서울특별시
3591,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.882453,37.575858,2014,2014,서울특별시
3594,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.882453,37.575858,2014,2014,서울특별시
8409,"Hynobius leechii Boulenger, 1887",도롱뇽,127.006944,37.602689,2014,2014,서울특별시
3959,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.958358,37.518381,2014,2014,서울특별시
8405,"Hyla japonica G?nther, 1859",청개구리,126.941297,37.577731,2014,2014,서울특별시
8407,"Bombina orientalis (Boulenger, 1890)",무당개구리,126.961756,37.601322,2014,2014,서울특별시
8406,"Hynobius leechii Boulenger, 1887",도롱뇽,126.961756,37.601322,2014,2014,서울특별시
4829,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.047592,37.652536,2014,2014,서울특별시
4830,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.047592,37.652536,2014,2014,서울특별시
8402,"Bombina orientalis (Boulenger, 1890)",무당개구리,126.994289,37.543633,2014,2014,서울특별시
3597,"Hyla japonica G?nther, 1859",청개구리,126.936428,37.594764,2014,2014,서울특별시
7871,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.879244,37.519297,2014,2014,서울특별시
7875,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.879244,37.519297,2014,2014,서울특별시
10179,"Rana dybowskii G?nther, 1876",북방산개구리,127.061444,37.682953,2014,2014,서울특별시
9710,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.153353,37.568933,2014,2014,서울특별시
9712,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.153353,37.568933,2014,2014,서울특별시
9711,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,127.153353,37.568933,2014,2014,서울특별시
10159,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.072544,37.6158,2014,2014,서울특별시
