"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","elevation","elevationAccuracy","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",106.987374,20.794515,"H<U+1EA3>i Phong",2019,4,26,"cdround","https://www.inaturalist.org/observations/23097122","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044778370","23097122",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.144216,22.274274,"Central and Western",2019,5,11,"cdround","https://www.inaturalist.org/observations/24923194","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2242935392","24923194",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.160078,22.255038,"Southern",2019,5,16,"cdround","https://www.inaturalist.org/observations/25200353","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2243008726","25200353",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.90346,22.225418,"Islands",2019,6,9,"cdround","https://www.inaturalist.org/observations/26715105","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2265851992","26715105",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.19107,22.258759,"Wan Chai",2019,6,20,"cdround","https://www.inaturalist.org/observations/27354925","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2273221815","27354925",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.563065,22.122948,"Ilhas",2019,6,20,"cdround","https://www.inaturalist.org/observations/56095288","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2851191241","56095288",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.032342,22.203608,"Islands",2019,6,5,"cdround","https://www.inaturalist.org/observations/26440294","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3061577352","26440294",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",105.667109,20.292807,"Ninh Binh",2019,7,6,"cdround","https://www.inaturalist.org/observations/28489056","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2283239922","28489056",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.018662,22.198496,"Islands",2019,10,21,"cdround","https://www.inaturalist.org/observations/34688365","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2445024808","34688365",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.136581,22.276328,"Central and Western",2018,2,28,"cdround","https://www.inaturalist.org/observations/10028685","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1831093887","10028685",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.14175,22.27566,"Central and Western",2018,5,2,"cdround","https://www.inaturalist.org/observations/12032359","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1841310162","12032359",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.149829,22.271667,"Central and Western",2018,5,2,"cdround","https://www.inaturalist.org/observations/12035279","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1841310955","12035279",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",105.718547,20.241994,"Ninh Binh",2018,5,11,"cdround","https://www.inaturalist.org/observations/12346167","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1847491267","12346167",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.14391,22.271609,"Central and Western",2018,5,17,"cdround","https://www.inaturalist.org/observations/12539510","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1847539976","12539510",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.15125,22.273025,"Central and Western",2018,5,21,"cdround","https://www.inaturalist.org/observations/12669821","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1847570447","12669821",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.151144,22.273078,"Central and Western",2018,10,4,"cdround","https://www.inaturalist.org/observations/17181164","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1914360895","17181164",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.143957,22.271586,"Central and Western",2018,10,4,"cdround","https://www.inaturalist.org/observations/17181699","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1914361158","17181699",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.1508,22.271426,"Central and Western",2018,10,30,"cdround","https://www.inaturalist.org/observations/17956922","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1933579718","17956922",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.961684,22.394447,"Tuen Mun",2018,11,5,"cdround","https://www.inaturalist.org/observations/18852139","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1948782415","18852139",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.917959,22.247847,"Islands",2017,3,21,"cdround","https://www.inaturalist.org/observations/6047408","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500344179","6047408",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.90905,22.25859,"Islands",2017,6,28,"cdround","https://www.inaturalist.org/observations/47269809","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634045568","47269809",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",105.608731,20.316745,"Ninh Binh",2017,7,29,"","https://www.inaturalist.org/observations/59187984","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","2864634584","59187984",NA,NA,NA,NA,NA,NA,NA
