"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","type","county"
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias argus",105.65,47.22,"Tov",2008,8,12,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251017707","R-12840-2",NA,NA,"30 km N.-W. Bayan-Unzhul somon",1133,0,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias argus",105.13,47.77,"Tov",2008,8,6,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251017861","R-12839-2",NA,NA,"15 km S.-W. Lun somon",1690,0,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias argus",106.18,49.93,"Selenge",2008,8,10,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251018004",NA,NA,NA,"Shamar, Bureg mount",NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias argus",108.645,45.723,NA,2008,9,28,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1413900280",NA,NA,NA,NA,1175,0,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.196303,36.840065,"Chungcheongnam-do",2007,5,24,"","https://www.inaturalist.org/observations/2482866","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677259000","2482866",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.19772,36.844735,"Chungcheongnam-do",2007,6,14,"","https://www.inaturalist.org/observations/2484618","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573823613","2484618",NA,NA,NA,NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias argus",105.92,49.48,"Selenge",2007,7,5,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251017587","R-12607-1",NA,NA,"North Mongolia, Darhan",NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Eremias argus",112.3,47.62,"Suhbaatar",2007,7,15,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251018863","R-12605-1",NA,NA,"Tumen-Tsogt",NA,NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Eremias argus",104.38695,47.7844859990614,"Bulgan Prov.",2007,9,7,"cdrep,cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543595212","238656","ASIA","Alcohol; Tissue: Liver (Ethanol)","6.5 km SW (by air) of Bayannuur, 47 47 4.15 N, 104 23 13.02 E",1021.08,NA,"PhysicalObject",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Eremias argus",104.361253,47.6504249990609,"Bulgan Prov.",2007,9,7,"cdrep,cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543595230","238672","ASIA","Alcohol; Tissue: Liver (Ethanol)","23 km SW (by air) of Bayannuur",1179.58,NA,"PhysicalObject",NA
