"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","month","day","issues","license","geodeticDatum","gbifID","continent","stateProvince","references","preparations","county","type","catalogNumber","locality","elevation","elevationAccuracy"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.35714,23.19666,2017,8,15,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864152586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.45587,23.5618,2017,8,23,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864152985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.73055,23.81469,2017,8,28,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.13069,23.05602,2017,8,31,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.72871,24.32762,2017,8,28,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",121.75646,24.64051,2017,8,31,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.51632,23.64484,2017,9,2,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",121.76345,24.7256,2017,9,6,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.59846,23.70008,2017,9,5,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",121.76997,24.65891,2017,9,14,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.81146,24.25419,2017,9,8,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",121.72755,24.70861,2017,9,17,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.74055,24.18165,2017,9,22,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.52217,23.64169,2017,9,23,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",121.18264,24.95388,2017,9,22,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.50236,23.65773,2017,9,23,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.52379,24.08241,2017,9,27,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.3266,23.39244,2017,9,28,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",121.71483,24.67327,2017,9,30,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Xenochrophis piscator",120.11039,23.11709,2017,10,1,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
